kind,key,path,url
repository,step-code,,https://github.com/stepfun-ai/Step-Code
pinned-source,step-code,README.zh-CN.md,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/README.zh-CN.md
pinned-source,step-code,LICENSE-STATUS.md,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/LICENSE-STATUS.md
pinned-source,step-code,docs/open-source-status.md,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/docs/open-source-status.md
pinned-source,step-code,packages/coding-agent/src/stepcode-runtime.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/coding-agent/src/stepcode-runtime.ts
pinned-source,step-code,packages/agent-core/src/agent-loop.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/agent-core/src/agent-loop.ts
pinned-source,step-code,packages/coding-agent/src/step/tool-profile.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/coding-agent/src/step/tool-profile.ts
official-document,stepcode-guides-sessions,,https://platform.stepfun.ai/docs/en/step-code/guides/sessions.md
pinned-source,step-code,packages/coding-agent/src/core/compaction/compaction.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/coding-agent/src/core/compaction/compaction.ts
pinned-source,step-code,packages/coding-agent/src/core/agent-session.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/coding-agent/src/core/agent-session.ts
official-document,stepcode-customization-agents,,https://platform.stepfun.ai/docs/en/step-code/customization/agents.md
pinned-source,step-code,docs/orchestration-lifecycle.md,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/docs/orchestration-lifecycle.md
pinned-source,step-code,docs/goal-lifecycle.md,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/docs/goal-lifecycle.md
pinned-source,step-code,packages/coding-agent/src/features/workflow/registration-gate.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/coding-agent/src/features/workflow/registration-gate.ts
pinned-source,step-code,packages/coding-agent/src/features/workflow/vm.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/coding-agent/src/features/workflow/vm.ts
pinned-source,step-code,packages/coding-agent/src/step/permissions.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/coding-agent/src/step/permissions.ts
pinned-source,step-code,docs/command-permissions.md,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/docs/command-permissions.md
pinned-source,step-code,SECURITY.md,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/SECURITY.md
official-document,stepcode-configuration-data-paths,,https://platform.stepfun.ai/docs/en/step-code/configuration/data-paths.md
official-document,stepcode-guides-migration,,https://platform.stepfun.ai/docs/en/step-code/guides/migration.md
official-document,stepcode-customization-plugins,,https://platform.stepfun.ai/docs/en/step-code/customization/plugins.md
official-document,stepcode-reference-steppage,,https://platform.stepfun.ai/docs/en/step-code/reference/steppage.md
pinned-source,step-code,packages/coding-agent/src/step/defaults.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/coding-agent/src/step/defaults.ts
pinned-source,step-code,packages/providers/src/step-provider/index.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/providers/src/step-provider/index.ts
official-document,stepcode-configuration-models,,https://platform.stepfun.ai/docs/en/step-code/configuration/models.md
pinned-source,step-code,packages/providers/src/providers/all.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/providers/src/providers/all.ts
pinned-source,step-code,packages/providers/src/compat.ts,https://github.com/stepfun-ai/Step-Code/blob/adcf37b0572ff568b3fbff759f52267690c98c32/packages/providers/src/compat.ts
official-document,step-step-plan-integrations-open-code,,https://platform.stepfun.ai/docs/en/step-plan/integrations/open-code.md
official-document,step-step-plan-integrations-cline,,https://platform.stepfun.ai/docs/en/step-plan/integrations/cline.md
official-document,step-step-plan-integrations-hermes-agent,,https://platform.stepfun.ai/docs/en/step-plan/integrations/hermes-agent.md
official-document,step-step-plan-integrations-cherry-studio,,https://platform.stepfun.ai/docs/en/step-plan/integrations/cherry-studio.md
official-document,step5-launch,,https://www.stepfun.com/step-5-preview
official-document,step5-model,,https://platform.stepfun.ai/docs/en/guides/models/step-5-preview
official-document,step-guides-developer-reasoning,,https://platform.stepfun.ai/docs/en/guides/developer/reasoning.md
official-document,stepcode-reference-tools,,https://platform.stepfun.ai/docs/en/step-code/reference/tools.md
official-document,step-step-plan-integrations-kilo-code,,https://platform.stepfun.ai/docs/en/step-plan/integrations/kilo-code.md
official-document,step-step-plan-integrations-claude-code,,https://platform.stepfun.ai/docs/en/step-plan/integrations/claude-code.md
official-document,step-step-plan-integrations-deepseek-harness,,https://platform.stepfun.ai/docs/en/step-plan/integrations/deepseek-harness.md
official-document,step-platform,,https://platform.stepfun.ai/
official-document,step-step-plan-overview,,https://platform.stepfun.ai/docs/en/step-plan/overview.md
