id,repository,sha,retrieved_at,stars,pushed_at,archived,license_metadata,inventory_files,captured_files,url
agent-zero,agent0ai/agent-zero,b1cbd1f960a1a5c4482b324dcff4742aa67b7a51,2026-09-22T17:24:55.167064+00:00,19236,2026-09-20T14:58:34Z,False,NOASSERTION,3034,1064,https://github.com/agent0ai/agent-zero
aider,Aider-AI/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,2026-09-22T17:23:47.070319+00:00,49115,2026-05-22T14:02:20Z,False,Apache-2.0,685,187,https://github.com/Aider-AI/aider
anythingllm,Mintplex-Labs/anything-llm,d401491d67ee88c40d04ab67d71b7360ca6627b4,2026-09-22T17:24:13.255049+00:00,66328,2026-09-22T15:08:11Z,False,MIT,5683,420,https://github.com/Mintplex-Labs/anything-llm
avante,avante-corp/avante.nvim,18316361891e59f3d18732fea0b1fe68c8be56e9,2026-09-22T18:09:19.278667+00:00,18167,2026-09-22T14:14:35Z,False,Apache-2.0,246,75,https://github.com/avante-corp/avante.nvim
chatbox,chatboxai/chatbox,0cf406cbd93197a89487c740cb101bef36641d35,2026-09-22T17:23:58.623997+00:00,41834,2026-09-16T13:37:52Z,False,GPL-3.0,1845,502,https://github.com/chatboxai/chatbox
cherry-studio,CherryHQ/cherry-studio,633729727543cfe7ccab776cc08e3a24fa7a925d,2026-09-22T17:24:03.422061+00:00,52076,2026-09-22T15:43:26Z,False,AGPL-3.0,9535,3306,https://github.com/CherryHQ/cherry-studio
claude-code,anthropics/claude-code,56f36532530f88b572854538d685fcf781141e8c,2026-09-22T17:23:21.900925+00:00,147615,2026-09-22T16:38:13Z,False,unknown,1423,321,https://github.com/anthropics/claude-code
cline,cline/cline,078f82b1e2617a6be421e34c08d35af1c3a78d87,2026-09-22T17:23:40.112656+00:00,69054,2026-09-22T17:19:22Z,False,Apache-2.0,4042,1117,https://github.com/cline/cline
codecompanion,olimorris/codecompanion.nvim,3af636c9892c70c5a4e91604718bf902076aff26,2026-09-22T18:09:18.949564+00:00,6868,2026-09-22T05:49:07Z,False,Apache-2.0,799,203,https://github.com/olimorris/codecompanion.nvim
codex,openai/codex,8a577399c774d1881ef030971d8f271694f55536,2026-09-22T17:23:22.127043+00:00,125941,2026-09-22T17:08:31Z,False,Apache-2.0,8440,1512,https://github.com/openai/codex
